Kaysville Police Dept,UT,12,      18203,          15,           1,           3,,           3,           8,         585,          85,         483,          17,          82.4,           5.5,          16.5,,          16.5,          43.9,       3213.8,         467.0,       2653.4,          93.4
Layton Police Dept,UT,12,      57657,         106,           0,          15,,          10,          81,       2161,         327,       1700,         134,         183.8,            .0,          26.0,,          17.3,         140.5,       3748.0,         567.1,       2948.5,         232.4
Lehi Police Dept,UT,12,      11400,          20,           1,           4,,           3,          12,         391,          86,         289,          16,         175.4,           8.8,          35.1,,          26.3,         105.3,       3429.8,         754.4,       2535.1,         140.4
Logan Police Dept,UT,12,      38932,          54,           0,          15,,           5,          34,       1341,         149,       1161,          31,         138.7,            .0,          38.5,,          12.8,          87.3,       3444.5,         382.7,       2982.1,          79.6
Midvale Police Dept,UT,12,      13038,          73,           0,          15,,          17,          41,       1098,         175,         811,         112,         559.9,            .0,         115.0,,         130.4,         314.5,       8421.5,       1342.2,       6220.3,         859.0
Murray Police Dept,UT,12,      36003,         146,           1,          23,,          28,          94,       3465,         414,       2831,         220,         405.5,           2.8,          63.9,,          77.8,         261.1,       9624.2,       1149.9,       7863.2,         611.1
North Ogden Police Dept,UT,12,      14114,           6,           1,           2,,           0,           3,         262,          33,         214,          15,          42.5,           7.1,          14.2,,            .0,          21.3,       1856.3,         233.8,       1516.2,         106.3
North Logan Police Dept,UT,12,       4286,           7,           0,           3,,           0,           4,         200,          32,         160,           8,         163.3,            .0,          70.0,,            .0,          93.3,       4666.4,         746.6,       3733.1,         186.7
North Salt Lake Police Dept,UT,12,       7870,          13,           0,           3,,           4,           6,         350,          52,         278,          20,         165.2,            .0,          38.1,,          50.8,          76.2,       4447.3,         660.7,       3532.4,         254.1
Ogden Police Dept,UT,12,      73125,         389,           4,          57,,         106,         222,       6198,       1075,       4757,         366,         532.0,           5.5,          77.9,,         145.0,         303.6,       8475.9,       1470.1,       6505.3,         500.5
Orem Police Dept,UT,12,      80290,         112,           0,          32,,          24,          56,       4510,         435,       3863,         212,         139.5,            .0,          39.9,,          29.9,          69.7,       5617.1,         541.8,       4811.3,         264.0
Payson Police Dept,UT,10,      11694,          30,           0,          15,,           1,          14,         729,         405,         292,          32,,,,,,,,,,
Pleasant Grove Police Dept,UT,12,      22447,          30,           0,           9,,           4,          17,         907,         156,         688,          63,         133.6,            .0,          40.1,,          17.8,          75.7,       4040.6,         695.0,       3065.0,         280.7
Provo Police Dept,UT,12,      95524,         182,           0,          44,,          32,         106,       3864,         706,       2895,         263,         190.5,            .0,          46.1,,          33.5,         111.0,       4045.1,         739.1,       3030.7,         275.3
Roy Police Dept,UT,12,      29533,         129,           0,           4,,          11,         114,       1169,         257,         881,          31,         436.8,            .0,          13.5,,          37.2,         386.0,       3958.3,         870.2,       2983.1,         105.0
St. George Police Dept,UT,12,      42031,         148,           0,          42,,          13,          93,       1665,         221,       1351,          93,         352.1,            .0,          99.9,,          30.9,         221.3,       3961.4,         525.8,       3214.3,         221.3
Salt Lake City Police Dept,UT,12,     185553,       1467,          21,         141,,         620,         685,      20247,       2911,      14346,       2990,         790.6,          11.3,          76.0,,         334.1,         369.2,      10911.7,       1568.8,       7731.5,       1611.4
Salt Lake County Sheriff Office,UT,12,,       1288,           6,         197,,         205,         880,      22856,       3753,      17363,       1740,,,,,,,,,,
Sandy City Police Dept,UT,12,      92164,         195,           1,          24,,          32,         138,       3966,         686,       3094,         186,         211.6,           1.1,          26.0,,          34.7,         149.7,       4303.2,         744.3,       3357.1,         201.8
Santaquin Police Dept,UT,12,       2886,           0,           0,           0,,           0,           0,          55,          14,          37,           4,            .0,            .0,            .0,,            .0,            .0,       1905.8,         485.1,       1282.1,         138.6
South Jordan Police Dept,UT,12,      18248,          23,           0,           4,,           2,          17,         691,         154,         480,          57,         126.0,            .0,          21.9,,          11.0,          93.2,       3786.7,         843.9,       2630.4,         312.4
South Ogden Police Dept,UT,12,      13998,          20,           0,           5,,           5,          10,         860,         124,         695,          41,         142.9,            .0,          35.7,,          35.7,          71.4,       6143.7,         885.8,       4965.0,         292.9
South Salt Lake Police Dept,UT,12,      12081,          37,           0,           8,,          10,          19,         469,          60,         321,          88,         306.3,            .0,          66.2,,          82.8,         157.3,       3882.1,         496.6,       2657.1,         728.4
Spanish Fork Police Dept,UT,12,      14591,          20,           0,           3,,           1,          16,         791,         124,         629,          38,         137.1,            .0,          20.6,,           6.9,         109.7,       5421.2,         849.8,       4310.9,         260.4
Springville Police Dept,UT,12,      17008,          19,           0,           6,,           1,          12,         739,         154,         555,          30,         111.7,            .0,          35.3,,           5.9,          70.6,       4345.0,         905.5,       3263.2,         176.4
Summit County Sheriff Office,UT,12,,          11,           0,           6,,           2,           3,         559,          63,         474,          22,,,,,,,,,,
Syracuse Police Dept,UT,12,       5685,          16,           0,           2,,           0,          14,          72,          21,          45,           6,         281.4,            .0,          35.2,,            .0,         246.3,       1266.5,         369.4,         791.6,         105.5
Tooele Police Dept,UT,12,      15967,          53,           0,           9,,           3,          41,         959,         116,         785,          58,         331.9,            .0,          56.4,,          18.8,         256.8,       6006.1,         726.5,       4916.4,         363.2
Utah County Sheriff Office,UT,12,,          62,           2,           7,,           4,          49,         791,         201,         504,          86,,,,,,,,,,
Vernal Police Dept,UT,12,       7867,          32,           0,           7,,           8,          17,         628,          74,         531,          23,         406.8,            .0,          89.0,,         101.7,         216.1,       7982.7,         940.6,       6749.7,         292.4
Weber County Sheriff Department,UT,12,,          36,           0,          14,,           3,          19,       1046,         275,         719,          52,,,,,,,,,,
West Jordan Police Dept,UT,12,      53933,         131,           0,          20,,          23,          88,       2693,         360,       2135,         198,         242.9,            .0,          37.1,,          42.6,         163.2,       4993.2,         667.5,       3958.6,         367.1
West Valley Police Dept,UT,12,     102154,         611,           9,          63,,          97,         442,       7170,       1043,       5512,         615,         598.1,           8.8,          61.7,,          95.0,         432.7,       7018.8,       1021.0,       5395.8,         602.0
Woods Cross Police Dept,UT,12,       5803,          12,           0,           5,,           0,           7,         348,          27,         292,          29,         206.8,            .0,          86.2,,            .0,         120.6,       5996.9,         465.3,       5031.9,         499.7

		
		,1. The figures shown in this column for the offense of rape were estimated using the legacy UCR definition of rape - previously known as "Forcible" rape.  See UCR Offense Definitions for further information.
		
		,2. The figures shown in this column for the offense of rape were estimated using the revised Uniform Crime Reporting (UCR) definition of rape. In December 2011 the UCR program changed its definition of SRS rape to this revised definition. This change can be seen in the UCR data starting in 2013. Prior to 2013 this column will be blank. See UCR Offense Definitions for further information.
		
		
"Notes: When data are unavailable, the cells are blank or the year is not presented."

              Variations in population coverage and reporting practices may cause differences in reporting from year to year. (See definitions)

              MSA and non-MSA county populations are not available.

          Crime rates are not available for agencies that report data for less than 12 months of a year.


"Sources: FBI, Uniform Crime Reports, prepared by the National Archive of Criminal Justice Data" 
Date of download: Nov 08 2018 
