Uniform Crime Reporting Statistics - UCR Data Online
http://www.ucrdatatool.gov/

Crime in 2004

,,,,Number of offenses reported,,,,,,,,,,"Crime rate per 100,000 population",,,,,,,,,,,
,,,,Violent crime,,,,,,Property crime,,,,Violent crime,,,,,,Property crime,,,,,

Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Legacy rape rate /1,Revised rape rate /2,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate,
Alpine Police Dept,UT,12,      17860,           5,           0,           3,,           0,           2,         294,          86,         197,          11,          28.0,            .0,          16.8,,            .0,          11.2,       1646.1,         481.5,       1103.0,          61.6
American Fork Police Dept,UT,12,      23242,          27,           0,           7,,           3,          17,       1085,         175,         858,          52,         116.2,            .0,          30.1,,          12.9,          73.1,       4668.3,         752.9,       3691.6,         223.7
Bountiful Police Dept,UT,12,      42063,          47,           0,          17,,          11,          19,       1035,         140,         829,          66,         111.7,            .0,          40.4,,          26.2,          45.2,       2460.6,         332.8,       1970.9,         156.9
Brigham City Police Dept,UT,12,      17611,          53,           0,          16,,           3,          34,         578,         132,         428,          18,         300.9,            .0,          90.9,,          17.0,         193.1,       3282.0,         749.5,       2430.3,         102.2
Cache County Sheriff Office,UT,12,,          30,           0,          12,,           0,          18,         437,          96,         312,          29,,,,,,,,,,
Cedar City Police Dept,UT,12,      22297,          21,           1,           2,,           3,          15,         647,         108,         510,          29,          94.2,           4.5,           9.0,,          13.5,          67.3,       2901.7,         484.4,       2287.3,         130.1
Centerville Police Dept,UT,12,      14984,           6,           0,           2,,           1,           3,         349,          56,         273,          20,          40.0,            .0,          13.3,,           6.7,          20.0,       2329.2,         373.7,       1821.9,         133.5
Clearfield Police Dept,UT,12,      27580,          50,           0,          15,,           7,          28,         794,         122,         623,          49,         181.3,            .0,          54.4,,          25.4,         101.5,       2878.9,         442.3,       2258.9,         177.7
Clinton Police Dept,UT,12,      15525,           8,           0,           2,,           0,           6,         210,          38,         166,           6,          51.5,            .0,          12.9,,            .0,          38.6,       1352.7,         244.8,       1069.2,          38.6
Davis County Sheriff Office,UT,12,,          14,           1,           2,,           1,          10,         163,          27,         125,          11,,,,,,,,,,
Draper,UT,12,      31516,          33,           0,           8,,           9,          16,       1009,         192,         761,          56,         104.7,            .0,          25.4,,          28.6,          50.8,       3201.5,         609.2,       2414.6,         177.7
Farmington Police Dept,UT,12,      13621,          10,           0,           2,,           1,           7,         185,          31,         136,          18,          73.4,            .0,          14.7,,           7.3,          51.4,       1358.2,         227.6,         998.5,         132.1
Heber City Police Dept,UT,12,       8742,           1,           0,           0,,           0,           1,          79,          38,          35,           6,          11.4,            .0,            .0,,            .0,          11.4,         903.7,         434.7,         400.4,          68.6
Hurricane Police Dept,UT,12,       9616,           8,           0,           3,,           1,           4,         263,          38,         208,          17,          83.2,            .0,          31.2,,          10.4,          41.6,       2735.0,         395.2,       2163.1,         176.8
Kaysville Police Dept,UT,12,      21728,          17,           0,           5,,           0,          12,         490,          85,         380,          25,          78.2,            .0,          23.0,,            .0,          55.2,       2255.2,         391.2,       1748.9,         115.1
Layton Police Dept,UT,12,      61740,         112,           0,          28,,          24,          60,       1828,         284,       1442,         102,         181.4,            .0,          45.4,,          38.9,          97.2,       2960.8,         460.0,       2335.6,         165.2
Lehi Police Dept,UT,12,      23638,          22,           1,           9,,           1,          11,         596,         211,         345,          40,          93.1,           4.2,          38.1,,           4.2,          46.5,       2521.4,         892.6,       1459.5,         169.2
Logan Police Dept,UT,12,      44373,          33,           0,          13,,           4,          16,       1008,         165,         808,          35,          74.4,            .0,          29.3,,           9.0,          36.1,       2271.7,         371.8,       1820.9,          78.9
Midvale Police Dept,UT,12,      27600,          84,           2,          19,,          17,          46,       1739,         171,       1387,         181,         304.3,           7.2,          68.8,,          61.6,         166.7,       6300.7,         619.6,       5025.4,         655.8
