Uniform Crime Reporting Statistics - UCR Data Online
http://www.ucrdatatool.gov/

Crime in 1987

,,,,Number of offenses reported,,,,,,,,,,"Crime rate per 100,000 population",,,,,,,,,,,
,,,,Violent crime,,,,,,Property crime,,,,Violent crime,,,,,,Property crime,,,,,

Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Legacy rape rate /1,Revised rape rate /2,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate,
Alpine Police Dept,UT,12,       3410,           2,           0,           0,,           0,           2,         113,          38,          69,           6,          58.7,            .0,            .0,,            .0,          58.7,       3313.8,       1114.4,       2023.5,         176.0
American Fork Police Dept,UT,12,      15405,          10,           0,           2,,           0,           8,         683,          86,         570,          27,          64.9,            .0,          13.0,,            .0,          51.9,       4433.6,         558.3,       3700.1,         175.3
Bountiful Police Dept,UT,12,      34815,          52,           1,          10,,           3,          38,       1126,         218,         869,          39,         149.4,           2.9,          28.7,,           8.6,         109.1,       3234.2,         626.2,       2496.1,         112.0
Brigham City Police Dept,UT,12,      16293,          43,           0,           2,,           2,          39,         540,          67,         457,          16,         263.9,            .0,          12.3,,          12.3,         239.4,       3314.3,         411.2,       2804.9,          98.2
Cache County Sheriff Office,UT,9,,           6,           0,           1,,           0,           5,         382,          69,         289,          24,,,,,,,,,,
Cedar City Police Dept,UT,12,      12489,          16,           0,           5,,           2,           9,         326,          53,         256,          17,         128.1,            .0,          40.0,,          16.0,          72.1,       2610.3,         424.4,       2049.8,         136.1
Centerville Police Dept,UT,12,      10835,          17,           0,           0,,           0,          17,         355,         101,         239,          15,         156.9,            .0,            .0,,            .0,         156.9,       3276.4,         932.2,       2205.8,         138.4
Clearfield Police Dept,UT,12,      22870,          38,           1,           1,,           6,          30,         805,         100,         672,          33,         166.2,           4.4,           4.4,,          26.2,         131.2,       3519.9,         437.3,       2938.3,         144.3
Clinton Police Dept,UT,12,       7939,           7,           0,           0,,           0,           7,         145,          32,         107,           6,          88.2,            .0,            .0,,            .0,          88.2,       1826.4,         403.1,       1347.8,          75.6
Davis County Sheriff Office,UT,12,,          28,           0,           8,,           2,          18,         253,          70,         167,          16,,,,,,,,,,
Draper,UT,12,       6093,          14,           0,           2,,           2,          10,         428,          34,         387,           7,         229.8,            .0,          32.8,,          32.8,         164.1,       7024.5,         558.0,       6351.6,         114.9
Farmington Police Dept,UT,12,       7596,           1,           0,           0,,           0,           1,         245,          24,         215,           6,          13.2,            .0,            .0,,            .0,          13.2,       3225.4,         316.0,       2830.4,          79.0
Heber City Police Dept,UT,12,       4812,          12,           0,           0,,           0,          12,         121,          10,         107,           4,         249.4,            .0,            .0,,            .0,         249.4,       2514.5,         207.8,       2223.6,          83.1
Hurricane Police Dept,UT,12,       5165,           4,           0,           0,,           0,           4,         197,          24,         167,           6,          77.4,            .0,            .0,,            .0,          77.4,       3814.1,         464.7,       3233.3,         116.2
Kaysville Police Dept,UT,12,      12479,          22,           0,           0,,           0,          22,         478,          76,         384,          18,         176.3,            .0,            .0,,            .0,         176.3,       3830.4,         609.0,       3077.2,         144.2
Layton Police Dept,UT,12,      35591,          50,           0,           5,,          12,          33,       1841,         279,       1517,          45,         140.5,            .0,          14.0,,          33.7,          92.7,       5172.7,         783.9,       4262.3,         126.4
Lehi Police Dept,UT,12,       8172,          11,           0,           0,,           0,          11,         171,          34,         128,           9,         134.6,            .0,            .0,,            .0,         134.6,       2092.5,         416.1,       1566.3,         110.1
Logan Police Dept,UT,12,      29135,          36,           0,           4,,           3,          29,       1320,         115,       1163,          42,         123.6,            .0,          13.7,,          10.3,          99.5,       4530.6,         394.7,       3991.8,         144.2
