Year,StateID,Population,ViolentCrimeTotal,MurderAndNonnegligentManslaughter,LegacyRape,RevisedRape,Robbery,AggravatedAssault,PropertyCrimeTotal,Burglary,LarcenyTheft,MotorVehicleTheft,ViolentCrimeRate,MurderAndNonnegligentManslaughterRate,LegacyRapeRate,RevisedRapeRate,RobberyRate,AggravatedAssaultRate,PropertyCrimeRate,BurglaryRate,LarcenyTheftRate,MotorVehicleTheftRate
1960,AL,3266740,6097,406,281,,898,4512,33823,11626,19344,2853,186.6,12.4,8.6,,27.5,138.1,1035.4,355.9,592.1,87.3
1960,AK,226167,236,23,47,,64,102,3494,751,2195,548,104.3,10.2,20.8,,28.3,45.1,1544.9,332.1,970.5,242.3
1960,AZ,1302161,2704,78,209,,706,1711,36539,8926,23207,4406,207.7,6.0,16.1,,54.2,131.4,2806.0,685.5,1782.2,338.4
1960,AR,1786272,1924,152,159,,443,1170,16548,5399,10250,899,107.7,8.5,8.9,,24.8,65.5,926.4,302.2,573.8,50.3
1960,CA,15717204,37558,616,2859,,15287,18796,508511,143102,311956,53453,239.0,3.9,18.2,,97.3,119.6,3235.4,910.5,1984.8,340.1
1960,CO,1753947,2408,73,229,,1362,744,35695,9996,21949,3750,137.3,4.2,13.1,,77.7,42.4,2035.1,569.9,1251.4,213.8
1960,CT,2535234,928,41,103,,236,548,28393,8452,16653,3288,36.6,1.6,4.1,,9.3,21.6,1119.9,333.4,656.9,129.7
1960,DE,446292,375,33,41,,157,144,9267,2661,5867,739,84.0,7.4,9.2,,35.2,32.3,2076.4,596.2,1314.6,165.6
1960,DC,763956,4230,81,111,,1072,2966,16495,4587,9905,2003,553.7,10.6,14.5,,140.3,388.2,2159.2,600.4,1296.5,262.2
1960,FL,4951560,11061,527,403,,4005,6126,122858,39966,73603,9289,223.4,10.6,8.1,,80.9,123.7,2481.2,807.1,1486.5,187.6
1960,GA,3943116,6262,469,294,,974,4525,49253,15461,27979,5813,158.8,11.9,7.5,,24.7,114.8,1249.1,392.1,709.6,147.4
1960,HI,632772,138,15,21,,69,33,14405,3328,9369,1708,21.8,2.4,3.3,,10.9,5.2,2276.5,525.9,1480.6,269.9
1960,ID,667191,255,16,48,,92,99,11561,2011,8883,667,38.2,2.4,7.2,,13.8,14.8,1732.8,301.4,1331.4,100.0
1960,IL,10081158,36802,489,1773,,21048,13492,199283,58241,105423,35619,365.1,4.9,17.6,,208.8,133.8,1976.8,577.7,1045.7,353.3
1960,IN,4662498,3945,204,240,,1609,1892,68496,21486,39196,7814,84.6,4.4,5.1,,34.5,40.6,1469.1,460.8,840.7,167.6
1960,IA,2757537,656,17,102,,301,236,30335,6375,21865,2095,23.8,.6,3.7,,10.9,8.6,1100.1,231.2,792.9,76.0
1960,KS,2178611,1272,64,109,,410,689,29120,7705,19515,1900,58.4,2.9,5.0,,18.8,31.6,1336.6,353.7,895.8,87.2
1960,KY,3038156,2957,205,163,,1001,1588,33887,11274,18831,3782,97.3,6.7,5.4,,32.9,52.3,1115.4,371.1,619.8,124.5
1960,LA,3257022,4990,270,279,,1484,2957,43709,12615,24893,6201,153.2,8.3,8.6,,45.6,90.8,1342.0,387.3,764.3,190.4
1960,ME,969265,289,16,48,,77,148,11228,2702,7334,1192,29.8,1.7,5.0,,7.9,15.3,1158.4,278.8,756.7,123.0
1960,MD,3100689,4691,168,224,,1158,3141,47092,11360,30024,5708,151.3,5.4,7.2,,37.3,101.3,1518.8,366.4,968.3,184.1
1960,MA,5148578,2512,74,249,,1052,1137,60255,15918,33469,10868,48.8,1.4,4.8,,20.4,22.1,1170.3,309.2,650.1,211.1
1960,MI,7823194,17034,353,1135,,7330,8216,191001,56724,120237,14040,217.7,4.5,14.5,,93.7,105.0,2441.5,725.1,1536.9,179.5
1960,MN,3413864,1435,42,81,,950,362,48614,12645,31303,4666,42.0,1.2,2.4,,27.8,10.6,1424.0,370.4,916.9,136.7
1960,MS,2178141,2236,218,112,,324,1582,13113,4459,7603,1051,102.7,10.0,5.1,,14.9,72.6,602.0,204.7,349.1,48.3
1960,MO,4319813,7468,189,627,,3913,2739,77743,25712,44049,7982,172.9,4.4,14.5,,90.6,63.4,1799.7,595.2,1019.7,184.8
1960,MT,674767,453,26,48,,186,193,13397,2675,9079,1643,67.1,3.9,7.1,,27.6,28.6,1985.4,396.4,1345.5,243.5
